10 | 1.0 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | [-0.6378, 0.4978, 0.1606, -0.3607, -0.7878, 0.6478] | [0.7988, 0.5461, 0.0894, -0.3104, 0.9488, 0.6961] | [-0.1301, -0.51, -0.1559, 0.3582, -0.1301, -0.66] | 
11 | 1.0 | 1.0 | 1.0 | 1.0 | 0.0 | 0.0 | [-0.6214, 0.4636, 0.1774, -0.3657, -0.7714, 0.6136] | [0.8082, 0.5159, 0.1033, -0.3246, 0.9582, 0.6659] | [-0.142, -0.4761, -0.1207, 0.3633, -0.142, -0.6261] | 
12 | 0.0 | 1.0 | 1.0 | 1.0 | 0.0 | 1.0 | [-0.603, 0.429, 0.202, -0.3691, -0.753, 0.579] | [0.8184, 0.4845, 0.1097, -0.3382, 0.9684, 0.6345] | [-0.1502, -0.4419, -0.0783, 0.3649, -0.1502, -0.5919] | 
13 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 0.0 | [-0.5824, 0.3941, 0.224, -0.3731, -0.7324, 0.5441] | [0.8287, 0.4519, 0.1107, -0.35, 0.9787, 0.6019] | [-0.1546, -0.408, -0.0391, 0.3612, -0.1546, -0.558] | 
14 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 0.0 | [-0.56, 0.3589, 0.2424, -0.3763, -0.71, 0.5089] | [0.8388, 0.4183, 0.1065, -0.3594, 0.9888, 0.5683] | [-0.1563, -0.3746, -0.0131, 0.3539, -0.1563, -0.5246] | 
15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [-0.5359, 0.3235, 0.2608, -0.3777, -0.6859, 0.4735] | [0.8478, 0.3841, 0.0934, -0.3661, 0.9978, 0.5341] | [-0.1552, -0.3417, 0.0172, 0.351, -0.1552, -0.4917] | 
16 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | [-0.5101, 0.2883, 0.279, -0.3756, -0.6601, 0.4383] | [0.8546, 0.3496, 0.0671, -0.3695, 1.0046, 0.4996] | [-0.1508, -0.3086, 0.0541, 0.3536, -0.1508, -0.4586] | 
17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [-0.4827, 0.2537, 0.2953, -0.3674, -0.6327, 0.4037] | [0.8582, 0.3149, 0.0313, -0.3698, 1.0082, 0.4649] | [-0.1428, -0.2751, 0.0935, 0.3585, -0.1428, -0.4251] | 
18 | 1.0 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | [-0.4539, 0.2202, 0.3103, -0.354, -0.6039, 0.3702] | [0.8583, 0.2803, -0.0055, -0.3696, 1.0083, 0.4303] | [-0.1313, -0.241, 0.1307, 0.3643, -0.1313, -0.391] | 
19 | 1.0 | 1.0 | 1.0 | 1.0 | 0.0 | 1.0 | [-0.4238, 0.1882, 0.3238, -0.339, -0.5738, 0.3382] | [0.8551, 0.2455, -0.0419, -0.3704, 1.0051, 0.3955] | [-0.1171, -0.2065, 0.1562, 0.3696, -0.1171, -0.3565] | 
20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [-0.3925, 0.1574, 0.3357, -0.3263, -0.5425, 0.3074] | [0.8479, 0.2107, -0.0855, -0.3725, 0.9979, 0.3607] | [-0.101, -0.1715, 0.1757, 0.3741, -0.101, -0.3215] | 
21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [-0.3603, 0.1275, 0.346, -0.3163, -0.5103, 0.2775] | [0.8357, 0.1755, -0.1415, -0.3758, 0.9857, 0.3255] | [-0.083, -0.1361, 0.1955, 0.3778, -0.083, -0.2861] | 
22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [-0.3272, 0.0985, 0.3543, -0.3072, -0.4772, 0.2485] | [0.8188, 0.1401, -0.1904, -0.3783, 0.9688, 0.2901] | [-0.0639, -0.1006, 0.2061, 0.3788, -0.0639, -0.2506] | 
23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [-0.2935, 0.0705, 0.3604, -0.297, -0.4435, 0.2205] | [0.798, 0.1045, -0.2297, -0.3798, 0.948, 0.2545] | [-0.0448, -0.0656, 0.2037, 0.3721, -0.0448, -0.2156] | 
24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [-0.2594, 0.0435, 0.3645, -0.2857, -0.4094, 0.1935] | [0.774, 0.0688, -0.2617, -0.3805, 0.924, 0.2188] | [-0.0272, -0.0325, 0.1835, 0.3483, -0.0272, -0.1825] | 
25 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [-0.2251, 0.0174, 0.3669, -0.2761, -0.3751, 0.1674] | [0.7475, 0.0332, -0.2881, -0.3805, 0.8975, 0.1832] | [-0.0128, -0.0033, 0.1468, 0.3033, -0.0128, -0.1533] | 
26 | 0.0 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | [-0.1906, -0.0082, 0.3681, -0.2726, -0.3406, 0.1418] | [0.7189, -0.0025, -0.3092, -0.3804, 0.8689, 0.1475] | [-0.0014, 0.0218, 0.1153, 0.2578, -0.0014, -0.1282] | 
27 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [-0.1628, -0.0354, 0.2749, -0.2972, -0.3128, 0.1146] | [0.6887, -0.0381, -0.3251, -0.3799, 0.8387, 0.1119] | [0.0141, 0.0438, 0.1806, 0.2327, 0.0141, -0.1062] | 
28 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | [-0.138, -0.0612, 0.2711, -0.2663, -0.288, 0.0888] | [0.6574, -0.0736, -0.3363, -0.3786, 0.8074, 0.0764] | [0.0298, 0.0643, 0.1557, 0.2112, 0.0298, -0.0857] | 
29 | 1.0 | 1.0 | 0.0 | 1.0 | 1.0 | 0.0 | [-0.1108, -0.0833, 0.296, -0.2283, -0.2608, 0.0667] | [0.6253, -0.1088, -0.3436, -0.3746, 0.7753, 0.0412] | [0.0409, 0.0831, 0.1089, 0.1972, 0.0409, -0.0669] | 
30 | 1.0 | 1.0 | 0.0 | 1.0 | 0.0 | 0.0 | [-0.0817, -0.1033, 0.3128, -0.2084, -0.2317, 0.0467] | [0.5928, -0.1434, -0.3485, -0.367, 0.7428, 0.0066] | [0.048, 0.0996, 0.0668, 0.1706, 0.048, -0.0504] | 
31 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | 1.0 | [-0.0518, -0.1211, 0.3214, -0.1859, -0.2018, 0.0289] | [0.5601, -0.1765, -0.3484, -0.35, 0.7101, -0.0265] | [0.0502, 0.1121, 0.0123, 0.1239, 0.0502, -0.0379] | 
32 | 1.0 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | [-0.0222, -0.1349, 0.3133, -0.138, -0.1722, 0.0151] | [0.528, -0.2076, -0.3415, -0.3264, 0.678, -0.0576] | [0.0464, 0.1199, -0.0534, 0.0727, 0.0464, -0.0301] | 
33 | 1.0 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | [0.004, -0.1445, 0.2723, -0.0924, -0.146, 0.0055] | [0.4967, -0.2363, -0.3314, -0.3019, 0.6467, -0.0863] | [0.0369, 0.1269, -0.1129, 0.0761, 0.0369, -0.0231] | 
34 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | [0.026462, -0.15008, 0.2308, -0.051956, -0.12354, -8.4579e-05] | [0.46623, -0.26249, -0.32349, -0.27362, 0.61623, -0.11249] | [0.030132, 0.1359, -0.062322, 0.1007, 0.030132, -0.014096] | 
35 | 1.0 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | [0.0463, -0.1527, 0.207, -0.0217, -0.1037, -0.0027] | [0.436, -0.2851, -0.3221, -0.2326, 0.586, -0.1351] | [0.0249, 0.1397, -0.0547, 0.0257, 0.0249, -0.0103] | 
36 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | [0.0638, -0.1527, 0.1811, 0.0059, -0.0862, -0.0027] | [0.4052, -0.3026, -0.3308, -0.1754, 0.5552, -0.1526] | [0.0177, 0.1472, -0.0819, 0.0927, 0.0177, -0.0028] | 
37 | 1.0 | 0.0 | 0.0 | 1.0 | 1.0 | 0.0 | [0.0792, -0.1509, 0.1598, 0.0213, -0.0708, -0.0009] | [0.3733, -0.3148, -0.3422, -0.1188, 0.5233, -0.1648] | [0.0139, 0.1506, -0.0298, 0.0223, 0.0139, 0.0006] | 
38 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [0.0923, -0.1484, 0.1354, 0.0283, -0.0577, 0.0016] | [0.3405, -0.3213, -0.3521, -0.0568, 0.4905, -0.1713] | [0.01, 0.1562, -0.0455, 0.0693, 0.01, 0.0062] | 
39 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [0.10373, -0.14565, 0.1183, 0.029928, -0.046269, 0.0043475] | [0.30688, -0.3216, -0.35982, 0.0097605, 0.45688, -0.1716] | [0.0082762, 0.1575, -0.010948, 0.00019193, 0.0082762, 0.0074981] | 
40 | 1.0 | 1.0 | 0.0 | 1.0 | 1.0 | 0.0 | [0.113, -0.1432, 0.0941, 0.0254, -0.037, 0.0068] | [0.2728, -0.3145, -0.365, 0.0927, 0.4228, -0.1645] | [0.0057, 0.162, -0.032, 0.0597, 0.0057, 0.012] | 
41 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [0.1205, -0.1413, 0.0758, 0.0188, -0.0295, 0.0087] | [0.238, -0.3025, -0.3728, 0.1364, 0.388, -0.1525] | [0.0054, 0.1628, 0.0047, -0.0046, 0.0054, 0.0128] | 
42 | 0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 1.0 | [0.1245, -0.1359, 0.0217, 0.0877, -0.0255, 0.0141] | [0.205, -0.2914, -0.3337, 0.0929, 0.355, -0.1414] | [0.0037, 0.1656, -0.0237, 0.0396, 0.0037, 0.0156] | 
43 | 1.0 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | [0.1216, -0.1192, -0.0398, 0.2009, -0.0284, 0.0308] | [0.1805, -0.2955, -0.2459, -0.0765, 0.3305, -0.1455] | [0.0037, 0.1671, 0.0051, 0.0094, 0.0037, 0.0171] | 
44 | 1.0 | 1.0 | 1.0 | 0.0 | 1.0 | 0.0 | [0.1167, -0.1034, -0.0499, 0.1442, -0.0333, 0.0466] | [0.1575, -0.3024, -0.2512, -0.0585, 0.3075, -0.1524] | [0.003, 0.1683, -0.0102, 0.0137, 0.003, 0.0183] | 
45 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | 1.0 | [0.1179, -0.0989, 0.0282, 0.0252, -0.0321, 0.0511] | [0.1316, -0.2999, -0.2831, 0.048, 0.2816, -0.1499] | [0.0023, 0.1701, -0.0069, 0.021, 0.0023, 0.0201] | 
46 | 1.0 | 1.0 | 1.0 | 0.0 | 1.0 | 0.0 | [0.1245, -0.1005, 0.0815, -0.0219, -0.0255, 0.0495] | [0.103, -0.2901, -0.3097, 0.1125, 0.253, -0.1401] | [0.0023, 0.1709, 0.0013, 0.0049, 0.0023, 0.0209] | 
47 | 1.0 | 1.0 | 1.0 | 0.0 | 1.0 | 1.0 | [0.1322, -0.098, 0.0828, 0.0399, -0.0178, 0.052] | [0.0715, -0.2817, -0.3451, 0.0831, 0.2215, -0.1317] | [0.0021, 0.172, -0.0026, 0.0135, 0.0021, 0.022] | 
48 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | [0.1391, -0.0971, 0.07, -0.0046, -0.0109, 0.0529] | [0.0372, -0.2718, -0.3693, 0.1178, 0.1872, -0.1218] | [0.002, 0.1726, -0.0006, 0.0042, 0.002, 0.0226] | 
49 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | 1.0 | [0.1435, -0.1016, 0.041, -0.0598, -0.0065, 0.0484] | [0.0025, -0.2556, -0.3703, 0.1867, 0.1525, -0.1056] | [0.0018, 0.1734, -0.0024, 0.0106, 0.0018, 0.0234] | 
50 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | 1.0 | [0.1478, -0.1049, 0.0473, -0.0286, -0.0022, 0.0451] | [-0.0303, -0.2344, -0.3445, 0.2365, 0.1197, -0.0844] | [0.0018, 0.1739, 0.0005, 0.0038, 0.0018, 0.0239] | 
51 | 1.0 | 0.0 | 1.0 | 1.0 | 0.0 | 1.0 | [0.151, -0.1077, 0.0313, -0.0297, 0.001, 0.0423] | [-0.0588, -0.2104, -0.2931, 0.2607, 0.0912, -0.0604] | [0.0014, 0.1743, -0.0054, 0.0039, 0.0014, 0.0243] | 

Interpretation:
